timestep,intersection,waiting,queue,avg_speed,vehicle_count,current_phase,ev_active,incident_active
11,E5,0,0,13.89,0,0,0,0
11,F5,0,0,13.89,0,0,0,0
12,A0,0,0,13.89,0,0,0,0
12,B0,0,0,13.89,0,0,0,0
12,C0,0,0,13.89,0,0,0,0
12,D0,0,0,13.89,0,0,0,0
12,E0,0,0,13.89,0,0,0,0
12,F0,0,0,13.89,0,0,0,0
12,A1,0,0,13.472,13,0,0,0
12,B1,0,0,13.89,0,0,0,0
12,C1,0,0,13.89,0,0,0,0
12,D1,0,0,13.89,0,0,0,0
12,E1,0,0,13.89,0,0,0,0
12,F1,0,0,13.89,0,0,0,0
12,A2,0,0,13.89,0,0,0,0
12,B2,0,0,13.89,0,0,0,0
12,C2,0,0,13.89,0,0,0,0
12,D2,0,0,13.89,0,0,0,0
12,E2,0,0,13.89,0,0,0,0
12,F2,0,0,13.89,0,0,0,0
12,A3,0,0,13.89,0,0,0,0
12,B3,0,0,13.89,0,0,0,0
12,C3,0,0,13.89,0,0,0,0
12,D3,0,0,13.89,0,0,0,0
12,E3,0,0,13.89,0,0,0,0
12,F3,0,0,13.89,0,0,0,0
12,A4,0,0,13.89,0,0,0,0
12,B4,0,0,13.89,0,0,0,0
12,C4,0,0,13.89,0,0,0,0
12,D4,0,0,13.89,0,0,0,0
12,E4,0,0,13.89,0,0,0,0
12,F4,0,0,13.89,0,0,0,0
12,A5,0,0,13.89,0,0,0,0
12,B5,0,0,13.89,0,0,0,0
12,C5,0,0,13.89,0,0,0,0
12,D5,0,0,13.89,0,0,0,0
12,E5,0,0,13.89,0,0,0,0
12,F5,0,0,13.89,0,0,0,0
13,A0,0,0,13.89,0,0,0,0
13,B0,0,0,13.89,0,0,0,0
13,C0,0,0,13.89,0,0,0,0
13,D0,0,0,13.89,0,0,0,0
13,E0,0,0,13.89,0,0,0,0
13,F0,0,0,13.89,0,0,0,0
13,A1,0,0,13.414,14,0,0,0
13,B1,0,0,13.89,0,0,0,0
13,C1,0,0,13.89,0,0,0,0
13,D1,0,0,13.89,0,0,0,0
13,E1,0,0,13.89,0,0,0,0
13,F1,0,0,13.89,0,0,0,0
13,A2,0,0,13.89,0,0,0,0
13,B2,0,0,13.89,0,0,0,0
13,C2,0,0,13.89,0,0,0,0
13,D2,0,0,13.89,0,0,0,0
13,E2,0,0,13.89,0,0,0,0
13,F2,0,0,13.89,0,0,0,0
13,A3,0,0,13.89,0,0,0,0
13,B3,0,0,13.89,0,0,0,0
13,C3,0,0,13.89,0,0,0,0
13,D3,0,0,13.89,0,0,0,0
13,E3,0,0,13.89,0,0,0,0
13,F3,0,0,13.89,0,0,0,0
13,A4,0,0,13.89,0,0,0,0
13,B4,0,0,13.89,0,0,0,0
13,C4,0,0,13.89,0,0,0,0
13,D4,0,0,13.89,0,0,0,0
13,E4,0,0,13.89,0,0,0,0
13,F4,0,0,13.89,0,0,0,0
13,A5,0,0,13.89,0,0,0,0
13,B5,0,0,13.89,0,0,0,0
13,C5,0,0,13.89,0,0,0,0
13,D5,0,0,13.89,0,0,0,0
13,E5,0,0,13.89,0,0,0,0
13,F5,0,0,13.89,0,0,0,0
14,A0,0,0,13.89,0,0,0,0
14,B0,0,0,13.89,0,0,0,0
14,C0,0,0,13.89,0,0,0,0
14,D0,0,0,13.89,0,0,0,0
14,E0,0,0,13.89,0,0,0,0
14,F0,0,0,13.89,0,0,0,0
14,A1,0,0,13.42,14,0,0,0
14,B1,0,0,13.89,0,0,0,0
14,C1,0,0,13.89,0,0,0,0
14,D1,0,0,13.89,0,0,0,0
14,E1,0,0,13.89,0,0,0,0
14,F1,0,0,13.89,0,0,0,0
14,A2,0,0,13.89,0,0,0,0
14,B2,0,0,13.89,0,0,0,0
14,C2,0,0,13.89,0,0,0,0
14,D2,0,0,13.89,0,0,0,0
14,E2,0,0,13.89,0,0,0,0
14,F2,0,0,13.89,0,0,0,0
14,A3,0,0,13.89,0,0,0,0
14,B3,0,0,13.89,0,0,0,0
14,C3,0,0,13.89,0,0,0,0
14,D3,0,0,13.89,0,0,0,0
14,E3,0,0,13.89,0,0,0,0
14,F3,0,0,13.89,0,0,0,0
14,A4,0,0,13.89,0,0,0,0
14,B4,0,0,13.89,0,0,0,0
14,C4,0,0,13.89,0,0,0,0
14,D4,0,0,13.89,0,0,0,0
14,E4,0,0,13.89,0,0,0,0
14,F4,0,0,13.89,0,0,0,0
14,A5,0,0,13.89,0,0,0,0
14,B5,0,0,13.89,0,0,0,0
14,C5,0,0,13.89,0,0,0,0
14,D5,0,0,13.89,0,0,0,0
14,E5,0,0,13.89,0,0,0,0
14,F5,0,0,13.89,0,0,0,0
15,A0,0,0,13.89,0,0,0,0
15,B0,0,0,13.89,0,0,0,0
15,C0,0,0,13.89,0,0,0,0
15,D0,0,0,13.89,0,0,0,0
15,E0,0,0,13.89,0,0,0,0
15,F0,0,0,13.89,0,0,0,0
15,A1,0,0,13.337,16,0,0,0
15,B1,0,0,13.89,0,0,0,0
15,C1,0,0,13.89,0,0,0,0
15,D1,0,0,13.89,0,0,0,0
15,E1,0,0,13.89,0,0,0,0
15,F1,0,0,13.89,0,0,0,0
15,A2,0,0,13.89,0,0,0,0
15,B2,0,0,13.89,0,0,0,0
15,C2,0,0,13.89,0,0,0,0
15,D2,0,0,13.89,0,0,0,0
15,E2,0,0,13.89,0,0,0,0
15,F2,0,0,13.89,0,0,0,0
15,A3,0,0,13.89,0,0,0,0
15,B3,0,0,13.89,0,0,0,0
15,C3,0,0,13.89,0,0,0,0
15,D3,0,0,13.89,0,0,0,0
15,E3,0,0,13.89,0,0,0,0
15,F3,0,0,13.89,0,0,0,0
15,A4,0,0,13.89,0,0,0,0
15,B4,0,0,13.89,0,0,0,0
15,C4,0,0,13.89,0,0,0,0
15,D4,0,0,13.89,0,0,0,0
15,E4,0,0,13.89,0,0,0,0
15,F4,0,0,13.89,0,0,0,0
15,A5,0,0,13.89,0,0,0,0
15,B5,0,0,13.89,0,0,0,0
15,C5,0,0,13.89,0,0,0,0
15,D5,0,0,13.89,0,0,0,0
15,E5,0,0,13.89,0,0,0,0
15,F5,0,0,13.89,0,0,0,0
16,A0,0,0,13.89,0,0,0,0
16,B0,0,0,13.89,0,0,0,0
16,C0,0,0,13.89,0,0,0,0
16,D0,0,0,13.89,0,0,0,0
16,E0,0,0,13.89,0,0,0,0
16,F0,0,0,13.89,0,0,0,0
16,A1,0,0,13.373,16,0,0,0
16,B1,0,0,13.89,0,0,0,0
16,C1,0,0,13.89,0,0,0,0
16,D1,0,0,13.89,0,0,0,0
16,E1,0,0,13.89,0,0,0,0
16,F1,0,0,13.89,0,0,0,0
16,A2,0,0,13.89,0,0,0,0
16,B2,0,0,13.89,0,0,0,0
16,C2,0,0,13.89,0,0,0,0
16,D2,0,0,13.89,0,0,0,0
16,E2,0,0,13.89,0,0,0,0
16,F2,0,0,13.89,0,0,0,0
16,A3,0,0,13.89,0,0,0,0
16,B3,0,0,13.89,0,0,0,0
16,C3,0,0,13.89,0,0,0,0
16,D3,0,0,13.89,0,0,0,0
16,E3,0,0,13.89,0,0,0,0
16,F3,0,0,13.89,0,0,0,0
16,A4,0,0,13.89,0,0,0,0
16,B4,0,0,13.89,0,0,0,0
16,C4,0,0,13.89,0,0,0,0
16,D4,0,0,13.89,0,0,0,0
16,E4,0,0,13.89,0,0,0,0
16,F4,0,0,13.89,0,0,0,0
16,A5,0,0,13.89,0,0,0,0
16,B5,0,0,13.89,0,0,0,0
16,C5,0,0,13.89,0,0,0,0
16,D5,0,0,13.89,0,0,0,0
16,E5,0,0,13.89,0,0,0,0
16,F5,0,0,13.89,0,0,0,0
17,A0,0,0,13.89,0,0,0,0
17,B0,0,0,13.89,0,0,0,0
17,C0,0,0,13.89,0,0,0,0
17,D0,0,0,13.89,0,0,0,0
17,E0,0,0,13.89,0,0,0,0
17,F0,0,0,13.89,0,0,0,0
17,A1,0,0,13.351,18,0,0,0
17,B1,0,0,13.89,0,0,0,0
17,C1,0,0,13.89,0,0,0,0
17,D1,0,0,13.89,0,0,0,0
17,E1,0,0,13.89,0,0,0,0
17,F1,0,0,13.89,0,0,0,0
17,A2,0,0,13.89,0,0,0,0
17,B2,0,0,13.89,0,0,0,0
17,C2,0,0,13.89,0,0,0,0
17,D2,0,0,13.89,0,0,0,0
17,E2,0,0,13.89,0,0,0,0
17,F2,0,0,13.89,0,0,0,0
17,A3,0,0,13.89,0,0,0,0
17,B3,0,0,13.89,0,0,0,0
17,C3,0,0,13.89,0,0,0,0
17,D3,0,0,13.89,0,0,0,0
17,E3,0,0,13.89,0,0,0,0
17,F3,0,0,13.89,0,0,0,0
17,A4,0,0,13.89,0,0,0,0
17,B4,0,0,13.89,0,0,0,0
17,C4,0,0,13.89,0,0,0,0
17,D4,0,0,13.89,0,0,0,0
17,E4,0,0,13.89,0,0,0,0
17,F4,0,0,13.89,0,0,0,0
17,A5,0,0,13.89,0,0,0,0
17,B5,0,0,13.89,0,0,0,0
17,C5,0,0,13.89,0,0,0,0
17,D5,0,0,13.89,0,0,0,0
17,E5,0,0,13.89,0,0,0,0
17,F5,0,0,13.89,0,0,0,0
18,A0,0,0,13.89,0,0,0,0
18,B0,0,0,13.89,0,0,0,0
18,C0,0,0,13.89,0,0,0,0
18,D0,0,0,13.89,0,0,0,0
18,E0,0,0,13.89,0,0,0,0
18,F0,0,0,13.89,0,0,0,0
18,A1,0,0,13.348,18,0,0,0
18,B1,0,0,13.89,0,0,0,0
18,C1,0,0,13.89,0,0,0,0
18,D1,0,0,13.89,0,0,0,0
